date,confirmed,deaths,recovered
2020-02-01,1.0,0.0,0.0
2020-02-02,1.0,0.0,0.0
2020-02-03,1.0,0.0,0.0
2020-02-04,1.0,0.0,0.0
2020-02-05,1.0,0.0,0.0
2020-02-06,1.0,0.0,0.0
2020-02-07,1.0,0.0,0.0
2020-02-08,1.0,0.0,0.0
2020-02-09,2.0,0.0,0.0
2020-02-10,2.0,0.0,0.0
2020-02-11,2.0,0.0,0.0
2020-02-12,2.0,0.0,0.0
2020-02-13,2.0,0.0,0.0
2020-02-14,2.0,0.0,0.0
2020-02-15,2.0,0.0,2.0
2020-02-16,2.0,0.0,2.0
2020-02-17,2.0,0.0,2.0
2020-02-18,2.0,0.0,2.0
2020-02-19,2.0,0.0,2.0
2020-02-20,2.0,0.0,2.0
2020-02-21,2.0,0.0,2.0
2020-02-22,2.0,0.0,2.0
2020-02-23,2.0,0.0,2.0
2020-02-24,2.0,0.0,2.0
2020-02-25,6.0,0.0,2.0
2020-02-26,13.0,0.0,2.0
2020-02-27,15.0,0.0,2.0
2020-02-28,32.0,0.0,2.0
2020-02-29,45.0,0.0,2.0
2020-03-01,84.0,0.0,2.0
2020-03-02,120.0,0.0,2.0
2020-03-03,165.0,1.0,2.0
2020-03-04,222.0,2.0,2.0
2020-03-05,259.0,3.0,2.0
2020-03-06,400.0,5.0,2.0
2020-03-07,500.0,10.0,30.0
2020-03-08,673.0,17.0,30.0
2020-03-09,1073.0,28.0,32.0
2020-03-10,1695.0,35.0,32.0
2020-03-11,2277.0,54.0,183.0
2020-03-12,2277.0,55.0,183.0
2020-03-13,5232.0,133.0,193.0
2020-03-14,6391.0,195.0,517.0
2020-03-15,7798.0,289.0,517.0
2020-03-16,9942.0,342.0,530.0
2020-03-17,11748.0,533.0,1028.0
2020-03-18,13910.0,623.0,1081.0
2020-03-19,17963.0,830.0,1107.0
2020-03-20,20410.0,1043.0,1588.0
2020-03-21,25374.0,1375.0,2125.0
2020-03-22,28603.0,1756.0,2125.0
2020-03-23,35136.0,2311.0,3355.0
2020-03-24,39885.0,2808.0,3794.0
2020-03-25,49515.0,3647.0,5367.0
2020-03-26,57786.0,4365.0,7015.0
2020-03-27,65719.0,5138.0,9357.0
2020-03-28,73235.0,5982.0,12285.0
2020-03-29,80110.0,6803.0,14709.0
2020-03-30,87956.0,7716.0,16780.0
2020-03-31,95923.0,8464.0,19259.0
2020-04-01,104118.0,9387.0,22647.0
2020-04-02,112065.0,10348.0,26743.0
2020-04-03,119199.0,11198.0,30513.0
2020-04-04,126168.0,11947.0,34219.0
2020-04-05,131646.0,12641.0,38080.0
2020-04-06,136675.0,13341.0,40437.0
2020-04-07,141942.0,14045.0,43208.0
2020-04-08,148220.0,14792.0,48021.0
2020-04-09,153222.0,15447.0,52165.0
2020-04-10,158273.0,16081.0,55668.0
2020-04-11,163027.0,16606.0,59109.0
