date,confirmed,deaths,recovered
2020-01-28,4.0,,
2020-01-29,4.0,,
2020-01-30,4.0,,
2020-01-31,5.0,,
2020-02-01,8.0,0.0,0.0
2020-02-02,10.0,0.0,0.0
2020-02-03,12.0,0.0,0.0
2020-02-04,12.0,0.0,0.0
2020-02-05,12.0,0.0,0.0
2020-02-06,12.0,0.0,0.0
2020-02-07,13.0,0.0,0.0
2020-02-08,13.0,0.0,0.0
2020-02-09,14.0,0.0,0.0
2020-02-10,14.0,0.0,0.0
2020-02-11,16.0,0.0,0.0
2020-02-12,16.0,0.0,0.0
2020-02-13,16.0,0.0,1.0
2020-02-14,16.0,0.0,1.0
2020-02-15,16.0,0.0,1.0
2020-02-16,16.0,0.0,1.0
2020-02-17,16.0,0.0,1.0
2020-02-18,16.0,0.0,12.0
2020-02-19,16.0,0.0,12.0
2020-02-20,16.0,0.0,12.0
2020-02-21,16.0,0.0,14.0
2020-02-22,16.0,0.0,14.0
2020-02-23,16.0,0.0,14.0
2020-02-24,16.0,0.0,14.0
2020-02-25,17.0,0.0,14.0
2020-02-26,27.0,0.0,15.0
2020-02-27,46.0,0.0,16.0
2020-02-28,48.0,0.0,16.0
2020-02-29,79.0,0.0,16.0
2020-03-01,130.0,0.0,16.0
2020-03-02,159.0,0.0,16.0
2020-03-03,196.0,0.0,16.0
2020-03-04,262.0,0.0,16.0
2020-03-05,482.0,0.0,16.0
2020-03-06,670.0,0.0,17.0
2020-03-07,799.0,0.0,18.0
2020-03-08,1040.0,0.0,18.0
2020-03-09,1176.0,2.0,18.0
2020-03-10,1457.0,2.0,18.0
2020-03-11,1908.0,3.0,25.0
2020-03-12,2078.0,3.0,25.0
2020-03-13,3675.0,7.0,46.0
2020-03-14,4585.0,9.0,46.0
2020-03-15,5795.0,11.0,46.0
2020-03-16,7272.0,17.0,67.0
2020-03-17,9257.0,24.0,67.0
2020-03-18,12327.0,28.0,105.0
2020-03-19,15320.0,44.0,113.0
2020-03-20,19848.0,67.0,180.0
2020-03-21,22213.0,84.0,233.0
2020-03-22,24873.0,94.0,266.0
2020-03-23,29056.0,123.0,453.0
2020-03-24,32986.0,157.0,3243.0
2020-03-25,37323.0,206.0,3547.0
2020-03-26,43938.0,267.0,5673.0
2020-03-27,50871.0,342.0,6658.0
2020-03-28,57695.0,433.0,8481.0
2020-03-29,62095.0,533.0,9211.0
2020-03-30,66885.0,645.0,13500.0
2020-03-31,71808.0,775.0,16100.0
2020-04-01,77872.0,920.0,18700.0
2020-04-02,84794.0,1107.0,22440.0
2020-04-03,91159.0,1275.0,24575.0
2020-04-04,96092.0,1444.0,26400.0
2020-04-05,100123.0,1584.0,28700.0
2020-04-06,103374.0,1810.0,28700.0
2020-04-07,107663.0,2016.0,36081.0
2020-04-08,113296.0,2349.0,46300.0
2020-04-09,118181.0,2607.0,52407.0
2020-04-10,122171.0,2767.0,53913.0
2020-04-11,124908.0,2736.0,57400.0
2020-04-12,127854.0,3022.0,60300.0
2020-04-13,130072.0,3194.0,64300.0
2020-04-14,131359.0,3294.0,68200.0
