date,confirmed,deaths,recovered
2020-01-30,1.0,0.0,0.0
2020-01-31,1.0,0.0,0.0
2020-02-01,1.0,0.0,0.0
2020-02-02,2.0,0.0,0.0
2020-02-03,3.0,0.0,0.0
2020-02-04,3.0,0.0,0.0
2020-02-05,3.0,0.0,0.0
2020-02-06,3.0,0.0,0.0
2020-02-07,3.0,0.0,0.0
2020-02-08,3.0,0.0,0.0
2020-02-09,3.0,0.0,0.0
2020-02-10,3.0,0.0,0.0
2020-02-11,3.0,0.0,0.0
2020-02-12,3.0,0.0,0.0
2020-02-13,3.0,0.0,0.0
2020-02-14,3.0,0.0,0.0
2020-02-15,3.0,0.0,0.0
2020-02-16,3.0,0.0,3.0
2020-02-17,3.0,0.0,3.0
2020-02-18,3.0,0.0,3.0
2020-02-19,3.0,0.0,3.0
2020-02-20,3.0,0.0,3.0
2020-02-21,3.0,0.0,3.0
2020-02-22,3.0,0.0,3.0
2020-02-23,3.0,0.0,3.0
2020-02-24,3.0,0.0,3.0
2020-02-25,3.0,0.0,3.0
2020-02-26,3.0,0.0,3.0
2020-02-27,3.0,0.0,3.0
2020-02-28,3.0,0.0,3.0
2020-02-29,3.0,0.0,3.0
2020-03-01,3.0,0.0,3.0
2020-03-02,5.0,0.0,3.0
2020-03-03,5.0,0.0,3.0
2020-03-04,28.0,0.0,3.0
2020-03-05,30.0,0.0,3.0
2020-03-06,31.0,0.0,3.0
2020-03-07,34.0,0.0,3.0
2020-03-08,39.0,0.0,3.0
2020-03-09,43.0,0.0,3.0
2020-03-10,56.0,0.0,4.0
2020-03-11,62.0,1.0,4.0
2020-03-12,73.0,1.0,4.0
2020-03-13,82.0,2.0,4.0
2020-03-14,102.0,2.0,4.0
2020-03-15,113.0,2.0,13.0
2020-03-16,119.0,2.0,13.0
2020-03-17,142.0,3.0,14.0
2020-03-18,156.0,3.0,14.0
2020-03-19,194.0,4.0,15.0
2020-03-20,244.0,5.0,20.0
2020-03-21,330.0,4.0,23.0
2020-03-22,396.0,7.0,24.0
2020-03-23,499.0,10.0,34.0
2020-03-24,536.0,10.0,40.0
2020-03-25,657.0,12.0,43.0
2020-03-26,727.0,20.0,45.0
2020-03-27,887.0,20.0,73.0
2020-03-28,987.0,24.0,84.0
2020-03-29,1024.0,27.0,95.0
2020-03-30,1251.0,32.0,102.0
2020-03-31,1397.0,35.0,123.0
2020-04-01,1998.0,58.0,148.0
2020-04-02,2543.0,72.0,191.0
2020-04-03,2567.0,72.0,192.0
2020-04-04,3082.0,86.0,229.0
2020-04-05,3588.0,99.0,229.0
2020-04-06,4778.0,136.0,375.0
2020-04-07,5311.0,150.0,421.0
2020-04-08,5916.0,178.0,506.0
2020-04-09,6725.0,226.0,620.0
2020-04-10,7598.0,246.0,774.0
2020-04-11,8446.0,288.0,969.0
2020-04-12,9205.0,331.0,1080.0
2020-04-13,10453.0,358.0,1181.0
2020-04-14,11487.0,393.0,1359.0
2020-04-15,12322.0,405.0,1432.0
2020-04-16,13430.0,448.0,1768.0
2020-04-17,14352.0,486.0,2041.0
2020-04-18,15722.0,521.0,2463.0
2020-04-19,17615.0,559.0,2854.0
2020-04-20,18539.0,592.0,3273.0
2020-04-21,20080.0,645.0,3975.0
2020-04-22,21370.0,681.0,4370.0
2020-04-23,23077.0,721.0,5012.0
2020-04-24,24530.0,780.0,5498.0
2020-04-25,26283.0,825.0,5939.0
2020-04-26,27890.0,881.0,6523.0
